bambara,francais
dàanajugu,comportement méchant
daanajugu,comportement méchant
dàbadababilen,houe bouche *augmentatif rouge
dabadababilen,houe bouche *augmentatif rouge
dàbadababilennin,houe bouche *augmentatif rouge *diminutif
dabadababilennin,houe bouche *augmentatif rouge *diminutif
dàbadablen,houe bouche rouge
dabadablen,houe bouche rouge
dàbadaninblen,*diminutif rouge
dabadaninblen,*diminutif rouge
dábaga,créer *agent occasionnel
dabaga,créer *agent occasionnel
dábɛ̀n,bouche se.rencontrer
dabɛn,bouche se.rencontrer
dabèn,bouche se.rencontrer
dábiri,bouche courber
dabiri,bouche courber
dábri,bouche courber
dabri,bouche courber
dábulu,bouche tuyau
dabulu,bouche tuyau
dádè,bouche se.taire
dáden,bouche se.taire
daden,bouche se.taire
dádèn,bouche se.taire
dáfanɛ,bouche remplir langue
dafanɛ,bouche remplir langue
dafanè,bouche remplir langue
dáfele,bouche germer
dafele,bouche germer
dáfɛlɛn,bouche germer
dafɛlɛn,bouche germer
dafèlèn,bouche germer
dáfilifìli,bouche jeter jeter
dafilifili,bouche jeter jeter
dáfiri,bouche renverser
dafiri,bouche renverser
dáfiyɛ,bouche souffler
dafiyɛ,bouche souffler
dafiyè,bouche souffler
dáfiyɛn,bouche vent
dafiyɛn,bouche vent
dafiyèn,bouche vent
dáfla,jour deux
dafla,jour deux
dáflà,bouche deux
dáfli,bouche erreur
dafli,bouche erreur
dáflici,bouche jeter commission
daflici,bouche jeter commission
dáflifli,bouche jeter jeter
daflifli,bouche jeter jeter
dáfri,bouche renverser
dafri,bouche renverser
dáfurugu,bouche bon.ou.mauvais.côté
dafurugu,bouche bon.ou.mauvais.côté
dáfyɛ,bouche souffler
dafyɛ,bouche souffler
dafyè,bouche souffler
dàgadlala,canari fabriquer *agent permanent
dagadlala,canari fabriquer *agent permanent
dágalaka,bouche
dagalaka,bouche
dágɛ,bouche blanc
dagɛ,bouche blanc
dagè,bouche blanc
dágèn,bouche
dagen,bouche
dágɛn,bouche aiguiser
dagɛn,bouche aiguiser
dagèn,bouche aiguiser
dágòsi,bouche battre
dágɔ̀si,bouche battre
dagɔsi,bouche battre
dagòsi,bouche battre
dágu,bouche joindre
dagu,bouche joindre
dágun,bouche joindre
dagun,bouche joindre
dàgwan,chanvre gombo
dagwan,chanvre gombo
dágwannan,bouche chauffer *instrumental
dagwannan,bouche chauffer *instrumental
dágwaran,bouche entraver
dagwaran,bouche entraver
dágwɛlɛkɛ,bouche
dagwɛlɛkɛ,bouche
dagwèlèkè,bouche
dágwɛlɛn,bouche difficile
dagwɛlɛn,bouche difficile
dagwèlèn,bouche difficile
dágwèn,bouche
dagwen,bouche
dágwɛn,bouche aiguiser
dagwɛn,bouche aiguiser
dagwèn,bouche aiguiser
dágwɛnnan,aiguiser [ bouche aiguiser ] *instrumental
dagwɛnnan,aiguiser [ bouche aiguiser ] *instrumental
dagwènnan,aiguiser [ bouche aiguiser ] *instrumental
dágweren,bouche bouché
dagweren,bouche bouché
dája,bouche rendre.agréable [ agréable *en verbe dynamique ]
daja,bouche rendre.agréable [ agréable *en verbe dynamique ]
dáje,bouche se.taire
daje,bouche se.taire
dájè,bouche se.taire
dákamana,bouche s'étonner *agent permanent
dakamana,bouche s'étonner *agent permanent
